Stand_GNN_PAG,ClimateScenario,Year,TEMFM1,TreatmentAssignment
286_93777_MCW,NONE,2095,9,trtInBoth
132_13091_MCW,NONE,2095,9,trtInBoth
98_13033_LPD,NONE,2095,5,trtInBoth
98_83057_MCW,NONE,2095,9,trtInBoth
132_13239_MHD,NONE,2095,5,trtInBoth
122_137000_MCW,NONE,2095,9,trtInBoth
65_81101_MCD,NONE,2095,13,trtInBoth
285_129921_MHD,NONE,2095,9,trtInBoth
92_8601_MHD,NONE,2095,5,trtInBoth
275_1109_MCD,NONE,2095,9,trtInBoth
221_12833_MCD,NONE,2095,13,trtInBoth
54_24945_MCD,NONE,2095,12,trtInBoth
100_2854_MCW,NONE,2095,12,trtInBoth
0_133151_MCW,NONE,2095,9,trtInBoth
132_2928_LPD,NONE,2095,5,trtInBoth
207_25119_LPD,NONE,2095,9,trtInBoth
39_136333_MCW,NONE,2095,13,trtInBoth
58_25336_MHD,NONE,2095,13,trtInBoth
59_21178_MHD,NONE,2095,13,trtInBoth
2_14499_MCD,NONE,2095,5,trtInBoth
2_14498_MCD,NONE,2095,12,trtInBoth
18_14525_MHD,NONE,2095,5,trtInBoth
